Model:	LI-7810
SN:	TG10-01640
Software Version:	2.3.8
Timestamp:	2023-09-26 08:00:00
Timezone:	Europe/Copenhagen
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	REMARK	DATE	TIME	H2O	CO2	CH4	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATAU	secs	nsecs	index	diag		date	time	ppm	ppm	ppb	kPa	°C	kPa	°C		µsecs	°C	counts	°C	V	CHK
DATA	1695708076	110068082	2577	256	""	2023-09-26	08:01:16	nan	nan	nan	102.183	32.5519	102.177	39.7113	0	0	33.3019	-16000	0	15.903	132
DATA	1695708077	109759092	2581	256	""	2023-09-26	08:01:17	nan	nan	nan	102.182	32.569	102.177	39.7113	0	0	33.3189	-16000	0	15.9026	157
DATA	1695708078	109759092	2585	256	""	2023-09-26	08:01:18	nan	nan	nan	102.181	32.5861	102.177	39.7113	0	0	33.3355	-16000	0	15.903	152
DATA	1695708079	109759092	2589	256	""	2023-09-26	08:01:19	nan	nan	nan	102.182	32.6031	102.177	39.7113	0	0	33.3525	-16000	0	15.903	148
DATA	1695708080	109759092	2593	256	""	2023-09-26	08:01:20	nan	nan	nan	102.183	32.6205	102.176	39.7115	0	0	33.3695	-16000	0	15.903	140
DATA	1695708081	109759092	2597	256	""	2023-09-26	08:01:21	nan	nan	nan	102.183	32.638	102.177	39.7113	0	0	33.3862	-16000	0	15.9026	150
DATA	1695708082	109759092	2601	256	""	2023-09-26	08:01:22	nan	nan	nan	102.182	32.6552	102.177	39.7113	0	0	33.4033	-16000	0	15.903	124
DATA	1695708083	109759092	2605	256	""	2023-09-26	08:01:23	nan	nan	nan	102.182	32.6722	102.177	39.7113	0	0	33.4202	-16000	0	15.903	127
DATA	1695708084	109759092	2609	256	""	2023-09-26	08:01:24	nan	nan	nan	102.182	32.6877	102.177	39.7113	0	0	33.4357	-16000	0	15.9026	208
DATA	1695708085	109450101	2613	256	""	2023-09-26	08:01:25	nan	nan	nan	102.182	32.7049	102.178	39.7113	0	0	33.453	-16000	0	15.9026	122
DATA	1695708086	109450101	2617	256	""	2023-09-26	08:01:26	nan	nan	nan	102.182	32.7221	102.178	39.7113	0	0	33.4703	-16000	0	15.9018	171
DATA	1695708087	109450101	2621	256	""	2023-09-26	08:01:27	nan	nan	nan	102.181	32.7391	102.177	39.7117	0	0	33.4872	-16000	0	15.901	129
DATA	1695708088	109450101	2625	256	""	2023-09-26	08:01:28	nan	nan	nan	102.182	32.7561	102.178	39.7115	0	0	33.5038	-16000	0	15.901	129
DATA	1695708089	109450101	2629	256	""	2023-09-26	08:01:29	nan	nan	nan	102.182	32.7733	102.178	39.7113	0	0	33.5208	-16000	0	15.9003	183
DATA	1695708090	109450101	2633	256	""	2023-09-26	08:01:30	nan	nan	nan	102.182	32.7909	102.178	39.7113	0	0	33.5376	-16000	0	15.9007	177
DATA	1695708091	109450101	2637	256	""	2023-09-26	08:01:31	nan	nan	nan	102.182	32.8081	102.177	39.7113	0	0	33.5545	-16000	0	15.901	118
DATA	1695708092	109136104	2641	256	""	2023-09-26	08:01:32	nan	nan	nan	102.182	32.8238	102.178	39.7113	0	0	33.5698	-16000	0	15.901	133
DATA	1695708093	109136104	2645	256	""	2023-09-26	08:01:33	nan	nan	nan	102.181	32.8406	102.178	39.7113	0	0	33.5868	-16000	0	15.9007	188
DATA	1695708094	109136104	2649	256	""	2023-09-26	08:01:34	nan	nan	nan	102.182	32.8578	102.179	39.7113	0	0	33.6036	-16000	0	15.9007	194
DATA	1695708095	109136104	2653	256	""	2023-09-26	08:01:35	nan	nan	nan	102.182	32.8748	102.179	39.7113	0	0	33.621	-16000	0	15.9007	136
DATA	1695708096	109136104	2657	256	""	2023-09-26	08:01:36	nan	nan	nan	102.181	32.8918	102.179	39.7113	0	0	33.6379	-16000	0	15.9007	204
DATA	1695708097	109136104	2661	256	""	2023-09-26	08:01:37	nan	nan	nan	102.181	32.9088	102.179	39.7113	0	0	33.6548	-16000	0	15.9007	198
DATA	1695708098	109136104	2665	256	""	2023-09-26	08:01:38	nan	nan	nan	102.181	32.926	102.179	39.7113	0	0	33.6716	-16000	0	15.9003	141
DATA	1695708099	109136104	2669	256	""	2023-09-26	08:01:39	nan	nan	nan	102.182	32.943	102.178	39.7113	0	0	33.6884	-16000	0	15.9003	152
DATA	1695708100	108828067	2673	256	""	2023-09-26	08:01:40	nan	nan	nan	102.182	32.9605	102.179	39.7113	0	0	33.7051	-16000	0	15.9003	177
DATA	1695708101	108828067	2677	256	""	2023-09-26	08:01:41	nan	nan	nan	102.181	32.9762	102.18	39.7113	0	0	33.7206	-16000	0	15.8995	151
DATA	1695708102	108828067	2681	256	""	2023-09-26	08:01:42	nan	nan	nan	102.181	32.9932	102.18	39.7113	0	0	33.7376	-16000	0	15.8995	155
DATA	1695708103	108828067	2685	256	""	2023-09-26	08:01:43	nan	nan	nan	102.181	33.0103	102.179	39.7113	0	0	33.7542	-16000	0	15.8995	194
DATA	1695708104	108828067	2689	256	""	2023-09-26	08:01:44	nan	nan	nan	102.18	33.0273	102.18	39.7113	0	0	33.7711	-16000	0	15.8995	101
DATA	1695708105	108828067	2693	256	""	2023-09-26	08:01:45	nan	nan	nan	102.182	33.0443	102.18	39.7113	0	0	33.7885	-16000	0	15.8995	159
DATA	1695708106	108828067	2697	256	""	2023-09-26	08:01:46	nan	nan	nan	102.181	33.0612	102.18	39.7113	0	0	33.8052	-16000	0	15.8991	145
DATA	1695708107	108498096	2701	256	""	2023-09-26	08:01:47	nan	nan	nan	102.181	33.0782	102.18	39.7113	0	0	33.8223	-16000	0	15.8983	147
DATA	1695708108	108498096	2705	256	""	2023-09-26	08:01:48	nan	nan	nan	102.181	33.0953	102.18	39.7113	0	0	33.839	-16000	0	15.8979	115
DATA	1695708109	108498096	2709	256	""	2023-09-26	08:01:49	nan	nan	nan	102.182	33.1109	102.18	39.7113	0	0	33.8544	-16000	0	15.8979	165
DATA	1695708110	108498096	2713	256	""	2023-09-26	08:01:50	nan	nan	nan	102.181	33.1287	102.18	39.7113	0	0	33.871	-16000	0	15.8979	 97
DATA	1695708111	108498096	2717	256	""	2023-09-26	08:01:51	nan	nan	nan	102.182	33.1458	102.18	39.7113	0	0	33.888	-16000	0	15.8979	112
DATA	1695708112	108498096	2721	256	""	2023-09-26	08:01:52	nan	nan	nan	102.18	33.1628	102.181	39.7113	0	0	33.9047	-16000	0	15.8983	146
DATA	1695708113	108498096	2725	256	""	2023-09-26	08:01:53	nan	nan	nan	102.182	33.1797	102.181	39.7113	0	0	33.9216	-16000	0	15.8983	207
