SN:3K430000002098 BD:Feb 22 2019 VC:6c0e877 MD5:23c7c984f9ae360a656e7db26e850528
SysTime,                      Time,      [CH4]_ppm,   [CH4]_ppm_sd,      [CO2]_ppm,   [CO2]_ppm_sd,      [H2O]_ppm,   [H2O]_ppm_sd,     [CH4]d_ppm,  [CH4]d_ppm_sd,     [CO2]d_ppm,  [CO2]d_ppm_sd,      GasP_torr,   GasP_torr_sd,         GasT_C,      GasT_C_sd,         AmbT_C,      AmbT_C_sd,         RD0_us,      RD0_us_sd,            Gnd,         Gnd_sd,         LTC0_v,      LTC0_v_sd,         Batt_v,      Batt_v_sd,   BATT_PERCENT,BATT_PERCENT_sd,       Fit_Flag,      MIU_VALVE,       MIU_DESC
26/04/2022 09:59:47.569, 26/04/2022 07:59:47.494, 2.01319e+0, 0.00000e+0, 4.31273e+2, 0.00000e+0, 7.94598e+3, 0.00000e+0, 2.02931e+0, 0.00000e+0, 4.34728e+2, 0.00000e+0, 4.99880e+2, 0.00000e+0, 1.63634e+1, 0.00000e+0, -4.35124e-1, 0.00000e+0, 2.87395e+0, 0.00000e+0, 8.45244e-2, 0.00000e+0, -8.25259e-1, 0.00000e+0, 5.00234e+0, 0.00000e+0, 8.98934e+1, 0.00000e+0, 3, -1, Disabled
26/04/2022 09:59:48.563, 26/04/2022 07:59:48.489, 2.01228e+0, 0.00000e+0, 4.27054e+2, 0.00000e+0, 7.91274e+3, 0.00000e+0, 2.02833e+0, 0.00000e+0, 4.30461e+2, 0.00000e+0, 5.00346e+2, 0.00000e+0, 1.63585e+1, 0.00000e+0, -4.35197e-1, 0.00000e+0, 2.87291e+0, 0.00000e+0, 8.45156e-2, 0.00000e+0, -8.25259e-1, 0.00000e+0, 5.00456e+0, 0.00000e+0, 9.00361e+1, 0.00000e+0, 3, -1, Disabled
26/04/2022 09:59:49.559, 26/04/2022 07:59:49.484, 2.00937e+0, 0.00000e+0, 4.26510e+2, 0.00000e+0, 7.89747e+3, 0.00000e+0, 2.02536e+0, 0.00000e+0, 4.29905e+2, 0.00000e+0, 5.01938e+2, 0.00000e+0, 1.63606e+1, 0.00000e+0, -4.40386e-1, 0.00000e+0, 2.87396e+0, 0.00000e+0, 8.45292e-2, 0.00000e+0, -8.25259e-1, 0.00000e+0, 5.00423e+0, 0.00000e+0, 9.00149e+1, 0.00000e+0, 3, -1, Disabled
26/04/2022 09:59:50.550, 26/04/2022 07:59:50.478, 2.01154e+0, 0.00000e+0, 4.28458e+2, 0.00000e+0, 7.91730e+3, 0.00000e+0, 2.02759e+0, 0.00000e+0, 4.31877e+2, 0.00000e+0, 5.01872e+2, 0.00000e+0, 1.63722e+1, 0.00000e+0, -4.35968e-1, 0.00000e+0, 2.87368e+0, 0.00000e+0, 8.45929e-2, 0.00000e+0, -8.25259e-1, 0.00000e+0, 5.00501e+0, 0.00000e+0, 9.00644e+1, 0.00000e+0, 3, -1, Disabled
26/04/2022 09:59:51.543, 26/04/2022 07:59:51.472, 2.01234e+0, 0.00000e+0, 4.26491e+2, 0.00000e+0, 7.97344e+3, 0.00000e+0, 2.02852e+0, 0.00000e+0, 4.29919e+2, 0.00000e+0, 5.01582e+2, 0.00000e+0, 1.63748e+1, 0.00000e+0, -4.37069e-1, 0.00000e+0, 2.87350e+0, 0.00000e+0, 8.45101e-2, 0.00000e+0, -8.25259e-1, 0.00000e+0, 5.00260e+0, 0.00000e+0, 8.99100e+1, 0.00000e+0, 3, -1, Disabled
26/04/2022 09:59:52.537, 26/04/2022 07:59:52.467, 2.01130e+0, 0.00000e+0, 4.26891e+2, 0.00000e+0, 7.98227e+3, 0.00000e+0, 2.02748e+0, 0.00000e+0, 4.30325e+2, 0.00000e+0, 5.01252e+2, 0.00000e+0, 1.63764e+1, 0.00000e+0, -4.42837e-1, 0.00000e+0, 2.87294e+0, 0.00000e+0, 8.45242e-2, 0.00000e+0, -8.25259e-1, 0.00000e+0, 5.00157e+0, 0.00000e+0, 8.98445e+1, 0.00000e+0, 3, -1, Disabled
26/04/2022 09:59:53.533, 26/04/2022 07:59:53.461, 2.01309e+0, 0.00000e+0, 4.22940e+2, 0.00000e+0, 7.92451e+3, 0.00000e+0, 2.02917e+0, 0.00000e+0, 4.26318e+2, 0.00000e+0, 5.00300e+2, 0.00000e+0, 1.63771e+1, 0.00000e+0, -4.40822e-1, 0.00000e+0, 2.87345e+0, 0.00000e+0, 8.44302e-2, 0.00000e+0, -8.25259e-1, 0.00000e+0, 5.00250e+0, 0.00000e+0, 8.99039e+1, 0.00000e+0, 3, -1, Disabled
26/04/2022 09:59:54.528, 26/04/2022 07:59:54.456, 2.01326e+0, 0.00000e+0, 4.27096e+2, 0.00000e+0, 7.91744e+3, 0.00000e+0, 2.02933e+0, 0.00000e+0, 4.30504e+2, 0.00000e+0, 5.00056e+2, 0.00000e+0, 1.63774e+1, 0.00000e+0, -4.39413e-1, 0.00000e+0, 2.87285e+0, 0.00000e+0, 8.45227e-2, 0.00000e+0, -8.25259e-1, 0.00000e+0, 5.00096e+0, 0.00000e+0, 8.98049e+1, 0.00000e+0, 3, -1, Disabled
26/04/2022 09:59:55.522, 26/04/2022 07:59:55.451, 2.01458e+0, 0.00000e+0, 4.26445e+2, 0.00000e+0, 7.93535e+3, 0.00000e+0, 2.03069e+0, 0.00000e+0, 4.29856e+2, 0.00000e+0, 4.99466e+2, 0.00000e+0, 1.63797e+1, 0.00000e+0, -4.38481e-1, 0.00000e+0, 2.87403e+0, 0.00000e+0, 8.45770e-2, 0.00000e+0, -8.25259e-1, 0.00000e+0, 5.00117e+0, 0.00000e+0, 8.98183e+1, 0.00000e+0, 3, -1, Disabled
26/04/2022 09:59:56.520, 26/04/2022 07:59:56.445, 2.01272e+0, 0.00000e+0, 4.23864e+2, 0.00000e+0, 7.83224e+3, 0.00000e+0, 2.02861e+0, 0.00000e+0, 4.27210e+2, 0.00000e+0, 5.00852e+2, 0.00000e+0, 1.63794e+1, 0.00000e+0, -4.38132e-1, 0.00000e+0, 2.87355e+0, 0.00000e+0, 8.45205e-2, 0.00000e+0, -8.25259e-1, 0.00000e+0, 5.00793e+0, 0.00000e+0, 9.02520e+1, 0.00000e+0, 3, -1, Disabled
26/04/2022 09:59:57.516, 26/04/2022 07:59:57.439, 2.01027e+0, 0.00000e+0, 4.26444e+2, 0.00000e+0, 7.98456e+3, 0.00000e+0, 2.02646e+0, 0.00000e+0, 4.29877e+2, 0.00000e+0, 5.01600e+2, 0.00000e+0, 1.63804e+1, 0.00000e+0, -4.41424e-1, 0.00000e+0, 2.87325e+0, 0.00000e+0, 8.45271e-2, 0.00000e+0, -8.25259e-1, 0.00000e+0, 4.99658e+0, 0.00000e+0, 8.95243e+1, 0.00000e+0, 3, -1, Disabled
26/04/2022 09:59:58.505, 26/04/2022 07:59:58.434, 2.00925e+0, 0.00000e+0, 4.24616e+2, 0.00000e+0, 7.86641e+3, 0.00000e+0, 2.02518e+0, 0.00000e+0, 4.27983e+2, 0.00000e+0, 5.01980e+2, 0.00000e+0, 1.63810e+1, 0.00000e+0, -4.40971e-1, 0.00000e+0, 2.87415e+0, 0.00000e+0, 8.44546e-2, 0.00000e+0, -8.25259e-1, 0.00000e+0, 5.00780e+0, 0.00000e+0, 9.02433e+1, 0.00000e+0, 3, -1, Disabled
26/04/2022 09:59:59.500, 26/04/2022 07:59:59.429, 2.01121e+0, 0.00000e+0, 4.22305e+2, 0.00000e+0, 7.86772e+3, 0.00000e+0, 2.02716e+0, 0.00000e+0, 4.25654e+2, 0.00000e+0, 5.01223e+2, 0.00000e+0, 1.63771e+1, 0.00000e+0, -4.40997e-1, 0.00000e+0, 2.87410e+0, 0.00000e+0, 8.45162e-2, 0.00000e+0, -8.25259e-1, 0.00000e+0, 4.99816e+0, 0.00000e+0, 8.96257e+1, 0.00000e+0, 3, -1, Disabled
26/04/2022 10:00:00.497, 26/04/2022 08:00:00.423, 2.01159e+0, 0.00000e+0, 4.25760e+2, 0.00000e+0, 7.94688e+3, 0.00000e+0, 2.02770e+0, 0.00000e+0, 4.29171e+2, 0.00000e+0, 5.01658e+2, 0.00000e+0, 1.63811e+1, 0.00000e+0, -4.34160e-1, 0.00000e+0, 2.87376e+0, 0.00000e+0, 8.45109e-2, 0.00000e+0, -8.25259e-1, 0.00000e+0, 4.99999e+0, 0.00000e+0, 8.97430e+1, 0.00000e+0, 3, -1, Disabled
26/04/2022 10:00:01.488, 26/04/2022 08:00:01.417, 2.01238e+0, 0.00000e+0, 4.29077e+2, 0.00000e+0, 7.93626e+3, 0.00000e+0, 2.02847e+0, 0.00000e+0, 4.32510e+2, 0.00000e+0, 5.00753e+2, 0.00000e+0, 1.63801e+1, 0.00000e+0, -4.36227e-1, 0.00000e+0, 2.87321e+0, 0.00000e+0, 8.45346e-2, 0.00000e+0, -8.25259e-1, 0.00000e+0, 5.00283e+0, 0.00000e+0, 8.99249e+1, 0.00000e+0, 3, -1, Disabled
